Name,longitude,latitude,TransportMode,StopPlaceType
LE POCHET,797193.4677667553,6478977.267219363,bus,,FR:Quay:193:,any,
LE POCHET,797213.6522063047,6479001.073887161,bus,,FR:Quay:222:,any,
MAIRIE D'UNIEUX,798746.7363349849,6478586.395912337,bus,,FR:Quay:194:,any,
MAIRIE D'UNIEUX,798747.8458400945,6478599.374737371,bus,,FR:Quay:196:,any,
COLL. LA RIVE,798512.0335122307,6478596.385237019,bus,,FR:Quay:195:,any,
COLL. LA RIVE,798527.1548551647,6478612.242170709,bus,,FR:Quay:197:,any,
COLL. LA RIVE,798540.1761722276,6478616.127785353,bus,,FR:Quay:198:,any,
PONT D'UNIEUX,798593.8119210455,6478931.386345713,bus,,FR:Quay:199:,any,
PONT D'UNIEUX,798583.2607733499,6478865.535657484,bus,,FR:Quay:200:,any,
PL. DE LA BARGE,800958.8915255831,6478604.542315006,bus,,FR:Quay:2281:,any,
PL. DE LA BARGE,800966.0377080407,6478622.465264695,bus,,FR:Quay:2282:,any,
MAIRIE CHAMBON 1,803587.9376410393,6478419.317747389,bus,,FR:Quay:203:,any,
EGLISE CHAMBON 1,803755.9353036584,6478436.870844536,bus,,FR:Quay:204:,any,
EGLISE CHAMBON 1,803743.9555098214,6478437.971896468,bus,,FR:Quay:205:,any,
PISCINE ONDAINE,804170.5985054767,6478441.334545398,bus,,FR:Quay:206:,any,
PISCINE ONDAINE,804122.9769227825,6478480.704636182,bus,,FR:Quay:207:,any,
COLL. FOURNEYRON,804432.1941765877,6478539.017839541,bus,,FR:Quay:208:,any,
COLL. FOURNEYRON,804381.2524261419,6478540.450511885,bus,,FR:Quay:209:,any,
COLL. FOURNEYRON,804381.2524261419,6478540.450511885,bus,,FR:Quay:2053:,any,
TRABLAINE,804602.4705038631,6478589.52166598,bus,,FR:Quay:210:,any,
TRABLAINE,804672.4957628719,6478599.915738222,bus,,FR:Quay:211:,any,
PONTCHARRA,804940.3534086817,6478611.6232720725,bus,,FR:Quay:212:,any,
PONTCHARRA,805012.3767129967,6478622.000319043,bus,,FR:Quay:216:,any,
GYMNASE CHAMBON,805369.47042889,6478436.126056324,bus,,FR:Quay:213:,any,
GYMNASE CHAMBON,805369.5384617542,6478444.118253602,bus,,FR:Quay:214:,any,
COTATAY,805440.4990992371,6478564.405026207,bus,,FR:Quay:215:,any,
COTATAY,805426.3766983032,6478548.539675189,bus,,FR:Quay:217:,any,
MONTRAMBERT,805818.7385850754,6478750.014880207,bus,,FR:Quay:218:,any,
MONTRAMBERT,805847.72730561,6478751.766319251,bus,,FR:Quay:219:,any,
MELINE,806050.2187422318,6478596.1816634815,bus,,FR:Quay:2054:,any,
MELINE,806060.2174910773,6478597.095648366,bus,,FR:Quay:2055:,any,
HAUTS ONDAINE,806245.389758489,6478519.588008166,bus,,FR:Quay:2056:,any,
HAUTS ONDAINE,806204.2171463905,6478494.961052686,bus,,FR:Quay:2057:,any,
DRAMOISON BAS,806572.0117227135,6478744.601817385,bus,,FR:Quay:2058:,any,
DRAMOISON BAS,806525.006538573,6478739.007374993,bus,,FR:Quay:2059:,any,
DRAMOISON HAUT,806736.412570054,6478574.354865789,bus,,FR:Quay:2060:,any,
DRAMOISON HAUT,806739.554217018,6478591.312768866,bus,,FR:Quay:2061:,any,
JULES VALLES,807021.0330683202,6478794.730643713,bus,,FR:Quay:2062:,any,
HAM. FROMAGE,806926.2952748493,6478580.73119941,bus,,FR:Quay:2628:,any,
HAM. FROMAGE,806919.2850922525,6478578.792676322,bus,,FR:Quay:2629:,any,
FONT MORA,813912.9756260249,6478580.182519466,bus,,FR:Quay:220:,any,
FONT MORA,813929.8994694812,6478573.044671947,bus,,FR:Quay:221:,any,
BOURG ST-NIZIER,784617.6996176085,6478844.389434885,bus,,FR:Quay:2541:,any,
BOURG ST-NIZIER,784602.7227300669,6478845.515787678,bus,,FR:Quay:2542:,any,
BOURG ST-MAURICE,792524.9352835523,6478889.083405474,bus,,FR:Quay:2543:,any,
BOURG ST-MAURICE,792474.7631943856,6478863.533432308,bus,,FR:Quay:2544:,any,
LES 3 ROUTES,792444.6415659162,6478611.017862306,bus,,FR:Quay:2546:,any,
LES 3 ROUTES,792435.5908866974,6478604.101122205,bus,,FR:Quay:2547:,any,
LES 3 ROUTES,792423.2373608524,6478561.24496894,bus,,FR:Quay:2579:,any,
LE FUMANT,797377.682941229,6479139.552365754,bus,,FR:Quay:223:,any,
LE FUMANT,797386.7421457733,6479147.468095443,bus,,FR:Quay:224:,any,
ROGER SALENGRO,798385.4528718087,6479102.006285648,bus,,FR:Quay:225:,any,
ROGER SALENGRO,798388.5774152627,6479116.966164876,bus,,FR:Quay:226:,any,
FENDERIE BOIRON,798217.9300869594,6479375.185926234,bus,,FR:Quay:227:,any,
FENDERIE BOIRON,798386.3867106377,6479446.687112083,bus,,FR:Quay:250:,any,
PENEL,798518.7481251642,6479150.82728619,bus,,FR:Quay:228:,any,
DUSSAUZE,798901.5702315338,6479170.549954971,bus,,FR:Quay:229:,any,
DUSSAUZE,798925.5638291343,6479172.344039652,bus,,FR:Quay:230:,any,
BOURG D'UNIEUX,798786.5926479063,6479278.431516606,bus,,FR:Quay:231:,any,
BOURG D'UNIEUX,798675.1437430225,6479331.332686755,bus,,FR:Quay:232:,any,
PONT HOPITAL,799169.4572889765,6479303.149241597,bus,,FR:Quay:233:,any,
