Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00713-1;713;87696187;Mesves - Bulcy;58400;164;Mesves-sur-Loire;58;Nièvre;3.0065175;47.2420755;GARES C BOURGOGNE;Mesves - Bulcy;MESVES BULCY GARE;MVU;47.2420755, 3.0065175
00715-1;715;87696161;Tracy - Sancerre;58150;295;Tracy-sur-Loire;58;Nièvre;2.8804164;47.3376398;GARES C BOURGOGNE;Tracy - Sancerre;TRACY SANCERRE GARE;TAY;47.3376398, 2.8804164
00899-1;899;87645440;Vic-sur-Cère;15800;258;Vic-sur-Cère;15;Cantal;2.6316644;44.975877;GARES C AUVERGNE;Vic-sur-Cère;VIC SUR CERE GARE;VCM;44.975877, 2.6316644
00907-1;907;87645101;Ytrac;15130;267;Ytrac;15;Cantal;2.3644474;44.9106891;GARES C AUVERGNE;Ytrac;YTRAC GARE;YTC;44.9106891, 2.3644474
00908-1;908;87645002;Aurillac;15000;14;Aurillac;15;Cantal;2.435655;44.921092;GARES B AUVERGNE;Aurillac;AURILLAC GARE;AUC;44.921092, 2.435655
00926-1;926;87641217;Huriel;3380;128;Huriel;3;Allier;2.4762569;46.3714332;GARES C AUVERGNE;Huriel;HURIEL GARE;HIL;46.3714332, 2.4762569
00927-1;927;87641191;La Ville Gozet;3100;185;Montluçon;3;Allier;2.5918028;46.3497686;GARES C AUVERGNE;La Ville Gozet;LA VILLE GOZET GARE;GOZ;46.3497686, 2.5918028
01430-1;1430;87562421;Aulnat Aéroport;63510;19;Aulnat;63;Puy-de-Dôme;3.1614332;45.7920571;GARES C AUVERGNE;Aulnat Aéroport;AULNAT GARE;AUL;45.7920571, 3.1614332
00420-1;420;87734723;Vorey;43800;267;Vorey;43;Haute-Loire;3.911422;45.1829093;GARES C AUVERGNE;Vorey;VOREY GARE;VOE;45.1829093, 3.911422
00428-1;428;87734442;Lezoux;63190;195;Lezoux;63;Puy-de-Dôme;3.385986;45.8212175;GARES C AUVERGNE;Lezoux;LEZOUX GARE;LEZ;45.8212175, 3.385986
00433-1;433;87734343;Chapeauroux;48600;139;Saint Bonnet-Laval;48;Lozère;3.741923;44.8380008;GARES C LANGUEDOC ROUSSILLON;Chapeauroux;CHAPEAUROUX GARE;CPX;44.8380008, 3.741923
00438-1;438;87734269;Brioude;43100;40;Brioude;43;Haute-Loire;3.3786344;45.3006493;GARES C AUVERGNE;Brioude;BRIOUDE GARE;BRD;45.3006493, 3.3786344
00439-1;439;87734251;Arvant;43360;38;Bournoncle-Saint-Pierre;43;Haute-Loire;3.3106747;45.3653797;GARES C AUVERGNE;Arvant;ARVANT GARE;ARV;45.3653797, 3.3106747
00440-1;440;87734244;Brassac-les-Mines - Sainte-Florine;63570;50;Brassac-les-Mines;63;Puy-de-Dôme;3.330167;45.414246;GARES B AUVERGNE;Brassac-les-Mines - Sainte-Florine;BRASSAC LES MINES STE FLORINE GARE;BLM;45.414246, 3.330167
00451-1;451;87734087;Pont-du-Château;63430;284;Pont-du-Château;63;Puy-de-Dôme;3.2377829;45.7885543;GARES C AUVERGNE;Pont-du-Château;;PCV;45.7885543, 3.2377829
00460-1;460;87731828;Lachaud Curmilhac;43013;13;Vissac-Auteyrac;43;Haute-Loire;3.6104913;45.1228045;GARES C AUVERGNE;Lachaud Curmilhac;LACHAUD CURMILHAC GARE;LDQ;45.1228045, 3.6104913
